id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
1233,China,CHN,710,1992,4783,Xizang,1,Xizang,NA,NA,Lhasa prefecture,0,NA,earthquake,1992-0256,31.69003921,88.13130923
1238,China,CHN,710,1993,4795,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1993-0108,24.97571744,101.4898344
1250,China,CHN,710,1993,4738,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Shufu,0,NA,earthquake,1993-0582,41.11196232,85.20363342
1261,China,CHN,710,1994,3888,Fujian,1,Fujian,NA,NA,Fujian,0,NA,earthquake,1994-0307,26.08105732,117.9899438
1261,China,CHN,710,1994,4004,Guangdong,1,Guangdong,NA,NA,Guandong,0,NA,earthquake,1994-0307,23.33519983,113.4152731
1261,Taiwan,TWN,713,1994,21164,Taiwan,1,Taiwan,NA,NA,Taiwan,0,NA,earthquake,1994-0307,23.72829126,121.009827
1262,China,CHN,710,1994,4005,Guangdong,1,Guangdong,NA,NA,Gungdong,0,NA,earthquake,1994-0600,23.33519983,113.4152731
1262,China,CHN,710,1994,4100,Guangxi,1,Guangxi,NA,NA,Guangxi,0,NA,earthquake,1994-0600,23.82701469,108.7865663
1267,China,CHN,710,1995,4797,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1995-0148,24.97571744,101.4898344
1268,China,CHN,710,1995,3950,Gansu,1,Gansu,NA,NA,Ganzu,0,NA,earthquake,1995-0457,37.82078887,100.9338739
1273,China,CHN,710,1995,4798,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1995-0261,24.97571744,101.4898344
1275,China,CHN,710,1996,4884,Zhejiang,1,Zhejiang,NA,NA,Lishui,0,NA,earthquake,1996-0021,29.17951244,120.0888388
1276,China,CHN,710,1996,4739,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Xinjiang,0,NA,earthquake,1996-0136,41.11196232,85.20363342
1286,China,CHN,710,1996,4800,Yunnan,1,Yunnan,NA,NA,Yunnan Province,0,NA,earthquake,1996-0205,24.97571744,101.4898344
1288,China,CHN,710,1997,4742,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Southern Xinjiang,0,NA,earthquake,1997-0011,41.11196232,85.20363342
1289,China,CHN,710,1997,4743,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Jiashi,0,NA,earthquake,1997-0531,41.11196232,85.20363342
1290,China,CHN,710,1997,4744,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Shule,0,NA,earthquake,1997-0326,41.11196232,85.20363342
1291,China,CHN,710,1997,4745,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Jiashi,0,NA,earthquake,1997-0532,41.11196232,85.20363342
1304,China,CHN,710,1998,4746,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Xinjiang,0,NA,earthquake,1998-0580,41.11196232,85.20363342
1309,China,CHN,710,1998,4748,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Xinjiang,0,NA,earthquake,1998-0581,41.11196232,85.20363342
1313,China,CHN,710,1998,4749,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Jiashi,0,NA,earthquake,1998-0582,41.11196232,85.20363342
1316,China,CHN,710,1998,4663,Sichuan,1,Sichuan,NA,NA,Sichuan,0,NA,earthquake,1998-0587,30.61575411,102.7099641
1317,China,CHN,710,1998,4664,Sichuan,1,Sichuan,NA,NA,Shichuan province,0,NA,earthquake,1998-0384,30.61575411,102.7099641
1317,China,CHN,710,1998,4803,Yunnan,1,Yunnan,NA,NA,Ninglang,0,NA,earthquake,1998-0384,24.97571744,101.4898344
1318,China,CHN,710,1998,4804,Yunnan,1,Yunnan,NA,NA,Yunnan,0,NA,earthquake,1998-0454,24.97571744,101.4898344
1333,China,CHN,710,1999,4518,Liaoning,1,Liaoning,NA,NA,Liaoning province,0,NA,earthquake,1999-0553,41.2989153,122.6076547
1704,Colombia,COL,100,1991,5039,Choco,1,Choco,NA,NA,Choco Department,0,NA,earthquake,1991-0390,5.98735733,-76.97111851
1716,Colombia,COL,100,1999,5295,Valle Del Cauca,1,Valle Del Cauca,NA,NA,Valle del Cauca,0,NA,earthquake,1999-0016,3.868855494,-76.53174509
1854,Cuba,CUB,40,1992,5644,Holguin,1,Holguin,NA,NA,Holguin,0,NA,earthquake,1992-0067,20.7663889,-75.90046634
